cliente;Número de cliente;nombre;Nombre del Cliente;fecha;Fecha de la encuesta;Direccion;Dirección;num;Número;dpto;Departamento;Comuna;Comuna;Email;E-mail;Superficie;Superficie del departamento;Ns/Nc;¿Conoce la superficie de su departamento?;Color;¿Cómo es el color de su edificio?;ubicacion;Su departamento está ubicado en:;Tamaño;A su juicio las habitaciones son:;dorms;Cantidad de dormitorios;baños;Cantidad de baños;n_habs;Número de habitantes;SE;¿El departamento posee sala de estar?;CD;¿El departamento posee comedor de diario?;Ser;¿El departamento posee sal de servicio?;Esc;¿El departamento posee sala de escritorio?;Serial;Serial
;;;;;;;;;;;;13;Las Condes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;14;Lo Barnechea;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;15;Lo Espejo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;16;Lo Prado;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;17;Macul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;18;Maipú;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;19;Ñuñoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;20;Padre Hurtado;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;21;Pedro Aguirre Cerda;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;22;Peñaflor;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;23;Peñalolen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;24;Providencia;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;25;Pudahuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;26;Puente Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;27;Quilicura;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;28;Quinta Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;29;Rancagua;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;30;Recoleta;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;31;Renca;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;32;San Bernardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;33;San Joaquín;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;34;San Miguel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;35;San Ramón;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;36;Santiago;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;37;Talagante;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;38;Vitacura;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;-1;No Contesta;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
